id,articleType,filepath
10465,Tshirts,data/subset_train\Tshirts\10465.jpg
9783,Tshirts,data/subset_train\Tshirts\9783.jpg
15200,Tshirts,data/subset_train\Tshirts\15200.jpg
2091,Tshirts,data/subset_train\Tshirts\2091.jpg
27444,Tshirts,data/subset_train\Tshirts\27444.jpg
4190,Tshirts,data/subset_train\Tshirts\4190.jpg
11778,Tshirts,data/subset_train\Tshirts\11778.jpg
23627,Tshirts,data/subset_train\Tshirts\23627.jpg
40153,Tshirts,data/subset_train\Tshirts\40153.jpg
38637,Tshirts,data/subset_train\Tshirts\38637.jpg
26471,Tshirts,data/subset_train\Tshirts\26471.jpg
38152,Tshirts,data/subset_train\Tshirts\38152.jpg
28565,Tshirts,data/subset_train\Tshirts\28565.jpg
3713,Tshirts,data/subset_train\Tshirts\3713.jpg
7801,Tshirts,data/subset_train\Tshirts\7801.jpg
27445,Tshirts,data/subset_train\Tshirts\27445.jpg
19110,Tshirts,data/subset_train\Tshirts\19110.jpg
2743,Tshirts,data/subset_train\Tshirts\2743.jpg
22367,Tshirts,data/subset_train\Tshirts\22367.jpg
2683,Tshirts,data/subset_train\Tshirts\2683.jpg
2984,Tshirts,data/subset_train\Tshirts\2984.jpg
5506,Tshirts,data/subset_train\Tshirts\5506.jpg
24050,Tshirts,data/subset_train\Tshirts\24050.jpg
4256,Tshirts,data/subset_train\Tshirts\4256.jpg
6063,Tshirts,data/subset_train\Tshirts\6063.jpg
6551,Tshirts,data/subset_train\Tshirts\6551.jpg
3991,Tshirts,data/subset_train\Tshirts\3991.jpg
7847,Tshirts,data/subset_train\Tshirts\7847.jpg
38803,Tshirts,data/subset_train\Tshirts\38803.jpg
2154,Tshirts,data/subset_train\Tshirts\2154.jpg
24911,Tshirts,data/subset_train\Tshirts\24911.jpg
40057,Tshirts,data/subset_train\Tshirts\40057.jpg
10840,Tshirts,data/subset_train\Tshirts\10840.jpg
4203,Tshirts,data/subset_train\Tshirts\4203.jpg
4780,Tshirts,data/subset_train\Tshirts\4780.jpg
7817,Tshirts,data/subset_train\Tshirts\7817.jpg
11356,Tshirts,data/subset_train\Tshirts\11356.jpg
33206,Tshirts,data/subset_train\Tshirts\33206.jpg
31236,Tshirts,data/subset_train\Tshirts\31236.jpg
6272,Tshirts,data/subset_train\Tshirts\6272.jpg
11997,Tshirts,data/subset_train\Tshirts\11997.jpg
9556,Tshirts,data/subset_train\Tshirts\9556.jpg
2847,Tshirts,data/subset_train\Tshirts\2847.jpg
3519,Tshirts,data/subset_train\Tshirts\3519.jpg
58372,Tshirts,data/subset_train\Tshirts\58372.jpg
3364,Tshirts,data/subset_train\Tshirts\3364.jpg
4209,Tshirts,data/subset_train\Tshirts\4209.jpg
5886,Tshirts,data/subset_train\Tshirts\5886.jpg
22631,Tshirts,data/subset_train\Tshirts\22631.jpg
38645,Tshirts,data/subset_train\Tshirts\38645.jpg
2054,Tshirts,data/subset_train\Tshirts\2054.jpg
19789,Tshirts,data/subset_train\Tshirts\19789.jpg
30144,Tshirts,data/subset_train\Tshirts\30144.jpg
12629,Tshirts,data/subset_train\Tshirts\12629.jpg
7784,Tshirts,data/subset_train\Tshirts\7784.jpg
24841,Tshirts,data/subset_train\Tshirts\24841.jpg
9984,Tshirts,data/subset_train\Tshirts\9984.jpg
5442,Tshirts,data/subset_train\Tshirts\5442.jpg
57424,Tshirts,data/subset_train\Tshirts\57424.jpg
53774,Tshirts,data/subset_train\Tshirts\53774.jpg
24275,Tshirts,data/subset_train\Tshirts\24275.jpg
8207,Tshirts,data/subset_train\Tshirts\8207.jpg
30302,Tshirts,data/subset_train\Tshirts\30302.jpg
10993,Tshirts,data/subset_train\Tshirts\10993.jpg
3044,Tshirts,data/subset_train\Tshirts\3044.jpg
43085,Tshirts,data/subset_train\Tshirts\43085.jpg
3060,Tshirts,data/subset_train\Tshirts\3060.jpg
3082,Tshirts,data/subset_train\Tshirts\3082.jpg
2047,Tshirts,data/subset_train\Tshirts\2047.jpg
2861,Tshirts,data/subset_train\Tshirts\2861.jpg
26246,Tshirts,data/subset_train\Tshirts\26246.jpg
6572,Tshirts,data/subset_train\Tshirts\6572.jpg
29352,Tshirts,data/subset_train\Tshirts\29352.jpg
34410,Tshirts,data/subset_train\Tshirts\34410.jpg
32464,Tshirts,data/subset_train\Tshirts\32464.jpg
31273,Tshirts,data/subset_train\Tshirts\31273.jpg
50194,Tshirts,data/subset_train\Tshirts\50194.jpg
3863,Tshirts,data/subset_train\Tshirts\3863.jpg
33935,Tshirts,data/subset_train\Tshirts\33935.jpg
3120,Tshirts,data/subset_train\Tshirts\3120.jpg
4313,Tshirts,data/subset_train\Tshirts\4313.jpg
1814,Tshirts,data/subset_train\Tshirts\1814.jpg
26497,Tshirts,data/subset_train\Tshirts\26497.jpg
42394,Tshirts,data/subset_train\Tshirts\42394.jpg
34403,Tshirts,data/subset_train\Tshirts\34403.jpg
24029,Tshirts,data/subset_train\Tshirts\24029.jpg
31102,Tshirts,data/subset_train\Tshirts\31102.jpg
3520,Tshirts,data/subset_train\Tshirts\3520.jpg
9961,Tshirts,data/subset_train\Tshirts\9961.jpg
5100,Tshirts,data/subset_train\Tshirts\5100.jpg
36001,Tshirts,data/subset_train\Tshirts\36001.jpg
19581,Tshirts,data/subset_train\Tshirts\19581.jpg
25504,Tshirts,data/subset_train\Tshirts\25504.jpg
33955,Tshirts,data/subset_train\Tshirts\33955.jpg
3945,Tshirts,data/subset_train\Tshirts\3945.jpg
38494,Tshirts,data/subset_train\Tshirts\38494.jpg
6724,Tshirts,data/subset_train\Tshirts\6724.jpg
22330,Tshirts,data/subset_train\Tshirts\22330.jpg
15933,Tshirts,data/subset_train\Tshirts\15933.jpg
24042,Tshirts,data/subset_train\Tshirts\24042.jpg
17257,Tshirts,data/subset_train\Tshirts\17257.jpg
53118,Tshirts,data/subset_train\Tshirts\53118.jpg
52148,Tshirts,data/subset_train\Tshirts\52148.jpg
31148,Tshirts,data/subset_train\Tshirts\31148.jpg
40138,Tshirts,data/subset_train\Tshirts\40138.jpg
2340,Tshirts,data/subset_train\Tshirts\2340.jpg
54940,Tshirts,data/subset_train\Tshirts\54940.jpg
7441,Tshirts,data/subset_train\Tshirts\7441.jpg
4402,Tshirts,data/subset_train\Tshirts\4402.jpg
13438,Tshirts,data/subset_train\Tshirts\13438.jpg
16913,Tshirts,data/subset_train\Tshirts\16913.jpg
2092,Tshirts,data/subset_train\Tshirts\2092.jpg
7127,Tshirts,data/subset_train\Tshirts\7127.jpg
10377,Tshirts,data/subset_train\Tshirts\10377.jpg
18631,Tshirts,data/subset_train\Tshirts\18631.jpg
3073,Tshirts,data/subset_train\Tshirts\3073.jpg
27392,Tshirts,data/subset_train\Tshirts\27392.jpg
32438,Tshirts,data/subset_train\Tshirts\32438.jpg
4843,Tshirts,data/subset_train\Tshirts\4843.jpg
9827,Tshirts,data/subset_train\Tshirts\9827.jpg
34399,Tshirts,data/subset_train\Tshirts\34399.jpg
32768,Tshirts,data/subset_train\Tshirts\32768.jpg
11363,Tshirts,data/subset_train\Tshirts\11363.jpg
28844,Tshirts,data/subset_train\Tshirts\28844.jpg
4315,Tshirts,data/subset_train\Tshirts\4315.jpg
39067,Tshirts,data/subset_train\Tshirts\39067.jpg
14922,Tshirts,data/subset_train\Tshirts\14922.jpg
18847,Tshirts,data/subset_train\Tshirts\18847.jpg
48257,Tshirts,data/subset_train\Tshirts\48257.jpg
10822,Tshirts,data/subset_train\Tshirts\10822.jpg
5827,Tshirts,data/subset_train\Tshirts\5827.jpg
23973,Tshirts,data/subset_train\Tshirts\23973.jpg
58734,Tshirts,data/subset_train\Tshirts\58734.jpg
15000,Tshirts,data/subset_train\Tshirts\15000.jpg
13967,Tshirts,data/subset_train\Tshirts\13967.jpg
40974,Tshirts,data/subset_train\Tshirts\40974.jpg
34100,Tshirts,data/subset_train\Tshirts\34100.jpg
4251,Tshirts,data/subset_train\Tshirts\4251.jpg
36737,Tshirts,data/subset_train\Tshirts\36737.jpg
7006,Tshirts,data/subset_train\Tshirts\7006.jpg
3769,Tshirts,data/subset_train\Tshirts\3769.jpg
7450,Tshirts,data/subset_train\Tshirts\7450.jpg
26479,Tshirts,data/subset_train\Tshirts\26479.jpg
3706,Tshirts,data/subset_train\Tshirts\3706.jpg
23638,Tshirts,data/subset_train\Tshirts\23638.jpg
2041,Tshirts,data/subset_train\Tshirts\2041.jpg
4208,Tshirts,data/subset_train\Tshirts\4208.jpg
3845,Tshirts,data/subset_train\Tshirts\3845.jpg
12634,Tshirts,data/subset_train\Tshirts\12634.jpg
12884,Tshirts,data/subset_train\Tshirts\12884.jpg
3529,Tshirts,data/subset_train\Tshirts\3529.jpg
19397,Tshirts,data/subset_train\Tshirts\19397.jpg
14727,Tshirts,data/subset_train\Tshirts\14727.jpg
37155,Tshirts,data/subset_train\Tshirts\37155.jpg
1762,Tshirts,data/subset_train\Tshirts\1762.jpg
7447,Tshirts,data/subset_train\Tshirts\7447.jpg
29019,Tshirts,data/subset_train\Tshirts\29019.jpg
13487,Shirts,data/subset_train\Shirts\13487.jpg
37723,Shirts,data/subset_train\Shirts\37723.jpg
23666,Shirts,data/subset_train\Shirts\23666.jpg
31640,Shirts,data/subset_train\Shirts\31640.jpg
41661,Shirts,data/subset_train\Shirts\41661.jpg
9469,Shirts,data/subset_train\Shirts\9469.jpg
19702,Shirts,data/subset_train\Shirts\19702.jpg
30794,Shirts,data/subset_train\Shirts\30794.jpg
14526,Shirts,data/subset_train\Shirts\14526.jpg
33241,Shirts,data/subset_train\Shirts\33241.jpg
10480,Shirts,data/subset_train\Shirts\10480.jpg
27866,Shirts,data/subset_train\Shirts\27866.jpg
22800,Shirts,data/subset_train\Shirts\22800.jpg
27892,Shirts,data/subset_train\Shirts\27892.jpg
48361,Shirts,data/subset_train\Shirts\48361.jpg
38823,Shirts,data/subset_train\Shirts\38823.jpg
18760,Shirts,data/subset_train\Shirts\18760.jpg
9639,Shirts,data/subset_train\Shirts\9639.jpg
9454,Shirts,data/subset_train\Shirts\9454.jpg
26112,Shirts,data/subset_train\Shirts\26112.jpg
10794,Shirts,data/subset_train\Shirts\10794.jpg
2050,Shirts,data/subset_train\Shirts\2050.jpg
16045,Shirts,data/subset_train\Shirts\16045.jpg
59301,Shirts,data/subset_train\Shirts\59301.jpg
17750,Shirts,data/subset_train\Shirts\17750.jpg
15693,Shirts,data/subset_train\Shirts\15693.jpg
11708,Shirts,data/subset_train\Shirts\11708.jpg
27566,Shirts,data/subset_train\Shirts\27566.jpg
27871,Shirts,data/subset_train\Shirts\27871.jpg
26367,Shirts,data/subset_train\Shirts\26367.jpg
33246,Shirts,data/subset_train\Shirts\33246.jpg
6772,Shirts,data/subset_train\Shirts\6772.jpg
27534,Shirts,data/subset_train\Shirts\27534.jpg
29669,Shirts,data/subset_train\Shirts\29669.jpg
15090,Shirts,data/subset_train\Shirts\15090.jpg
24524,Shirts,data/subset_train\Shirts\24524.jpg
19703,Shirts,data/subset_train\Shirts\19703.jpg
13752,Shirts,data/subset_train\Shirts\13752.jpg
16042,Shirts,data/subset_train\Shirts\16042.jpg
4974,Shirts,data/subset_train\Shirts\4974.jpg
9498,Shirts,data/subset_train\Shirts\9498.jpg
9655,Shirts,data/subset_train\Shirts\9655.jpg
32393,Shirts,data/subset_train\Shirts\32393.jpg
41660,Shirts,data/subset_train\Shirts\41660.jpg
29280,Shirts,data/subset_train\Shirts\29280.jpg
26088,Shirts,data/subset_train\Shirts\26088.jpg
9667,Shirts,data/subset_train\Shirts\9667.jpg
27542,Shirts,data/subset_train\Shirts\27542.jpg
27558,Shirts,data/subset_train\Shirts\27558.jpg
26063,Shirts,data/subset_train\Shirts\26063.jpg
16541,Shirts,data/subset_train\Shirts\16541.jpg
51426,Shirts,data/subset_train\Shirts\51426.jpg
11697,Shirts,data/subset_train\Shirts\11697.jpg
13661,Shirts,data/subset_train\Shirts\13661.jpg
27153,Shirts,data/subset_train\Shirts\27153.jpg
29291,Shirts,data/subset_train\Shirts\29291.jpg
9236,Shirts,data/subset_train\Shirts\9236.jpg
22395,Shirts,data/subset_train\Shirts\22395.jpg
23196,Shirts,data/subset_train\Shirts\23196.jpg
13940,Shirts,data/subset_train\Shirts\13940.jpg
17725,Shirts,data/subset_train\Shirts\17725.jpg
32762,Shirts,data/subset_train\Shirts\32762.jpg
51403,Shirts,data/subset_train\Shirts\51403.jpg
7143,Shirts,data/subset_train\Shirts\7143.jpg
13743,Shirts,data/subset_train\Shirts\13743.jpg
8859,Shirts,data/subset_train\Shirts\8859.jpg
8181,Shirts,data/subset_train\Shirts\8181.jpg
22576,Shirts,data/subset_train\Shirts\22576.jpg
43304,Shirts,data/subset_train\Shirts\43304.jpg
57110,Shirts,data/subset_train\Shirts\57110.jpg
51401,Shirts,data/subset_train\Shirts\51401.jpg
8586,Shirts,data/subset_train\Shirts\8586.jpg
26411,Shirts,data/subset_train\Shirts\26411.jpg
26390,Shirts,data/subset_train\Shirts\26390.jpg
40129,Shirts,data/subset_train\Shirts\40129.jpg
56770,Shirts,data/subset_train\Shirts\56770.jpg
51488,Shirts,data/subset_train\Shirts\51488.jpg
14785,Shirts,data/subset_train\Shirts\14785.jpg
9071,Shirts,data/subset_train\Shirts\9071.jpg
22354,Shirts,data/subset_train\Shirts\22354.jpg
27862,Shirts,data/subset_train\Shirts\27862.jpg
16032,Shirts,data/subset_train\Shirts\16032.jpg
29184,Shirts,data/subset_train\Shirts\29184.jpg
58395,Shirts,data/subset_train\Shirts\58395.jpg
26797,Shirts,data/subset_train\Shirts\26797.jpg
20155,Shirts,data/subset_train\Shirts\20155.jpg
26065,Shirts,data/subset_train\Shirts\26065.jpg
13734,Shirts,data/subset_train\Shirts\13734.jpg
30228,Shirts,data/subset_train\Shirts\30228.jpg
9246,Shirts,data/subset_train\Shirts\9246.jpg
8791,Shirts,data/subset_train\Shirts\8791.jpg
58765,Shirts,data/subset_train\Shirts\58765.jpg
27874,Shirts,data/subset_train\Shirts\27874.jpg
9455,Shirts,data/subset_train\Shirts\9455.jpg
19204,Shirts,data/subset_train\Shirts\19204.jpg
57296,Shirts,data/subset_train\Shirts\57296.jpg
9424,Shirts,data/subset_train\Shirts\9424.jpg
18317,Shirts,data/subset_train\Shirts\18317.jpg
27856,Shirts,data/subset_train\Shirts\27856.jpg
29279,Shirts,data/subset_train\Shirts\29279.jpg
5987,Shirts,data/subset_train\Shirts\5987.jpg
7167,Shirts,data/subset_train\Shirts\7167.jpg
8871,Shirts,data/subset_train\Shirts\8871.jpg
8190,Shirts,data/subset_train\Shirts\8190.jpg
27887,Shirts,data/subset_train\Shirts\27887.jpg
51400,Shirts,data/subset_train\Shirts\51400.jpg
31093,Shirts,data/subset_train\Shirts\31093.jpg
31649,Shirts,data/subset_train\Shirts\31649.jpg
33239,Shirts,data/subset_train\Shirts\33239.jpg
26800,Shirts,data/subset_train\Shirts\26800.jpg
26056,Shirts,data/subset_train\Shirts\26056.jpg
39780,Shirts,data/subset_train\Shirts\39780.jpg
22356,Shirts,data/subset_train\Shirts\22356.jpg
29277,Shirts,data/subset_train\Shirts\29277.jpg
46353,Shirts,data/subset_train\Shirts\46353.jpg
26087,Shirts,data/subset_train\Shirts\26087.jpg
12025,Shirts,data/subset_train\Shirts\12025.jpg
15968,Shirts,data/subset_train\Shirts\15968.jpg
13320,Shirts,data/subset_train\Shirts\13320.jpg
5960,Shirts,data/subset_train\Shirts\5960.jpg
9072,Shirts,data/subset_train\Shirts\9072.jpg
12017,Shirts,data/subset_train\Shirts\12017.jpg
10807,Shirts,data/subset_train\Shirts\10807.jpg
14716,Shirts,data/subset_train\Shirts\14716.jpg
13051,Shirts,data/subset_train\Shirts\13051.jpg
5147,Shirts,data/subset_train\Shirts\5147.jpg
11079,Shirts,data/subset_train\Shirts\11079.jpg
8472,Shirts,data/subset_train\Shirts\8472.jpg
15967,Shirts,data/subset_train\Shirts\15967.jpg
12271,Shirts,data/subset_train\Shirts\12271.jpg
19181,Shirts,data/subset_train\Shirts\19181.jpg
9624,Shirts,data/subset_train\Shirts\9624.jpg
13459,Shirts,data/subset_train\Shirts\13459.jpg
11676,Shirts,data/subset_train\Shirts\11676.jpg
9659,Shirts,data/subset_train\Shirts\9659.jpg
8728,Shirts,data/subset_train\Shirts\8728.jpg
32395,Shirts,data/subset_train\Shirts\32395.jpg
36590,Shirts,data/subset_train\Shirts\36590.jpg
51423,Shirts,data/subset_train\Shirts\51423.jpg
46396,Shirts,data/subset_train\Shirts\46396.jpg
5128,Shirts,data/subset_train\Shirts\5128.jpg
17719,Shirts,data/subset_train\Shirts\17719.jpg
13417,Shirts,data/subset_train\Shirts\13417.jpg
9590,Shirts,data/subset_train\Shirts\9590.jpg
9654,Shirts,data/subset_train\Shirts\9654.jpg
20164,Shirts,data/subset_train\Shirts\20164.jpg
12357,Shirts,data/subset_train\Shirts\12357.jpg
2125,Shirts,data/subset_train\Shirts\2125.jpg
8862,Shirts,data/subset_train\Shirts\8862.jpg
16924,Shirts,data/subset_train\Shirts\16924.jpg
9653,Shirts,data/subset_train\Shirts\9653.jpg
9662,Shirts,data/subset_train\Shirts\9662.jpg
59833,Shirts,data/subset_train\Shirts\59833.jpg
19692,Shirts,data/subset_train\Shirts\19692.jpg
51417,Shirts,data/subset_train\Shirts\51417.jpg
34028,Shirts,data/subset_train\Shirts\34028.jpg
17193,Shirts,data/subset_train\Shirts\17193.jpg
31091,Shirts,data/subset_train\Shirts\31091.jpg
6320,Shirts,data/subset_train\Shirts\6320.jpg
13283,Shirts,data/subset_train\Shirts\13283.jpg
6015,Shirts,data/subset_train\Shirts\6015.jpg
30806,Shirts,data/subset_train\Shirts\30806.jpg
14786,Shirts,data/subset_train\Shirts\14786.jpg
33249,Shirts,data/subset_train\Shirts\33249.jpg
26045,Shirts,data/subset_train\Shirts\26045.jpg
17169,Shirts,data/subset_train\Shirts\17169.jpg
14772,Shirts,data/subset_train\Shirts\14772.jpg
33492,Shirts,data/subset_train\Shirts\33492.jpg
31100,Shirts,data/subset_train\Shirts\31100.jpg
17168,Shirts,data/subset_train\Shirts\17168.jpg
47662,Shirts,data/subset_train\Shirts\47662.jpg
29639,Shirts,data/subset_train\Shirts\29639.jpg
34038,Shirts,data/subset_train\Shirts\34038.jpg
18749,Shirts,data/subset_train\Shirts\18749.jpg
33235,Shirts,data/subset_train\Shirts\33235.jpg
26958,Shirts,data/subset_train\Shirts\26958.jpg
25006,Shirts,data/subset_train\Shirts\25006.jpg
18889,Shirts,data/subset_train\Shirts\18889.jpg
12011,Shirts,data/subset_train\Shirts\12011.jpg
17571,Shirts,data/subset_train\Shirts\17571.jpg
12942,Shirts,data/subset_train\Shirts\12942.jpg
9634,Shirts,data/subset_train\Shirts\9634.jpg
37785,Shirts,data/subset_train\Shirts\37785.jpg
29696,Shirts,data/subset_train\Shirts\29696.jpg
14053,Shirts,data/subset_train\Shirts\14053.jpg
9262,Shirts,data/subset_train\Shirts\9262.jpg
16039,Shirts,data/subset_train\Shirts\16039.jpg
19201,Shirts,data/subset_train\Shirts\19201.jpg
37804,Shirts,data/subset_train\Shirts\37804.jpg
9621,Shirts,data/subset_train\Shirts\9621.jpg
13867,Shirts,data/subset_train\Shirts\13867.jpg
23180,Shirts,data/subset_train\Shirts\23180.jpg
15993,Shirts,data/subset_train\Shirts\15993.jpg
12731,Shirts,data/subset_train\Shirts\12731.jpg
41605,Shirts,data/subset_train\Shirts\41605.jpg
20131,Shirts,data/subset_train\Shirts\20131.jpg
51430,Shirts,data/subset_train\Shirts\51430.jpg
21118,Shirts,data/subset_train\Shirts\21118.jpg
12304,Shirts,data/subset_train\Shirts\12304.jpg
12245,Shirts,data/subset_train\Shirts\12245.jpg
22164,Casual Shoes,data/subset_train\Casual_Shoes\22164.jpg
22189,Casual Shoes,data/subset_train\Casual_Shoes\22189.jpg
8909,Casual Shoes,data/subset_train\Casual_Shoes\8909.jpg
14481,Casual Shoes,data/subset_train\Casual_Shoes\14481.jpg
34750,Casual Shoes,data/subset_train\Casual_Shoes\34750.jpg
21569,Casual Shoes,data/subset_train\Casual_Shoes\21569.jpg
3640,Casual Shoes,data/subset_train\Casual_Shoes\3640.jpg
7710,Casual Shoes,data/subset_train\Casual_Shoes\7710.jpg
35818,Casual Shoes,data/subset_train\Casual_Shoes\35818.jpg
22177,Casual Shoes,data/subset_train\Casual_Shoes\22177.jpg
24482,Casual Shoes,data/subset_train\Casual_Shoes\24482.jpg
14560,Casual Shoes,data/subset_train\Casual_Shoes\14560.jpg
2495,Casual Shoes,data/subset_train\Casual_Shoes\2495.jpg
35681,Casual Shoes,data/subset_train\Casual_Shoes\35681.jpg
26646,Casual Shoes,data/subset_train\Casual_Shoes\26646.jpg
49484,Casual Shoes,data/subset_train\Casual_Shoes\49484.jpg
35671,Casual Shoes,data/subset_train\Casual_Shoes\35671.jpg
13382,Casual Shoes,data/subset_train\Casual_Shoes\13382.jpg
22833,Casual Shoes,data/subset_train\Casual_Shoes\22833.jpg
33846,Casual Shoes,data/subset_train\Casual_Shoes\33846.jpg
3489,Casual Shoes,data/subset_train\Casual_Shoes\3489.jpg
57520,Casual Shoes,data/subset_train\Casual_Shoes\57520.jpg
35392,Casual Shoes,data/subset_train\Casual_Shoes\35392.jpg
38535,Casual Shoes,data/subset_train\Casual_Shoes\38535.jpg
4132,Casual Shoes,data/subset_train\Casual_Shoes\4132.jpg
3658,Casual Shoes,data/subset_train\Casual_Shoes\3658.jpg
13066,Casual Shoes,data/subset_train\Casual_Shoes\13066.jpg
59941,Casual Shoes,data/subset_train\Casual_Shoes\59941.jpg
17959,Casual Shoes,data/subset_train\Casual_Shoes\17959.jpg
39593,Casual Shoes,data/subset_train\Casual_Shoes\39593.jpg
35465,Casual Shoes,data/subset_train\Casual_Shoes\35465.jpg
5429,Casual Shoes,data/subset_train\Casual_Shoes\5429.jpg
47246,Casual Shoes,data/subset_train\Casual_Shoes\47246.jpg
37243,Casual Shoes,data/subset_train\Casual_Shoes\37243.jpg
12430,Casual Shoes,data/subset_train\Casual_Shoes\12430.jpg
39629,Casual Shoes,data/subset_train\Casual_Shoes\39629.jpg
22867,Casual Shoes,data/subset_train\Casual_Shoes\22867.jpg
30233,Casual Shoes,data/subset_train\Casual_Shoes\30233.jpg
39984,Casual Shoes,data/subset_train\Casual_Shoes\39984.jpg
7379,Casual Shoes,data/subset_train\Casual_Shoes\7379.jpg
20716,Casual Shoes,data/subset_train\Casual_Shoes\20716.jpg
15512,Casual Shoes,data/subset_train\Casual_Shoes\15512.jpg
4019,Casual Shoes,data/subset_train\Casual_Shoes\4019.jpg
55785,Casual Shoes,data/subset_train\Casual_Shoes\55785.jpg
22819,Casual Shoes,data/subset_train\Casual_Shoes\22819.jpg
32727,Casual Shoes,data/subset_train\Casual_Shoes\32727.jpg
35660,Casual Shoes,data/subset_train\Casual_Shoes\35660.jpg
30239,Casual Shoes,data/subset_train\Casual_Shoes\30239.jpg
36952,Casual Shoes,data/subset_train\Casual_Shoes\36952.jpg
57467,Casual Shoes,data/subset_train\Casual_Shoes\57467.jpg
34747,Casual Shoes,data/subset_train\Casual_Shoes\34747.jpg
9213,Casual Shoes,data/subset_train\Casual_Shoes\9213.jpg
29572,Casual Shoes,data/subset_train\Casual_Shoes\29572.jpg
34748,Casual Shoes,data/subset_train\Casual_Shoes\34748.jpg
57524,Casual Shoes,data/subset_train\Casual_Shoes\57524.jpg
43379,Casual Shoes,data/subset_train\Casual_Shoes\43379.jpg
35696,Casual Shoes,data/subset_train\Casual_Shoes\35696.jpg
37241,Casual Shoes,data/subset_train\Casual_Shoes\37241.jpg
42274,Casual Shoes,data/subset_train\Casual_Shoes\42274.jpg
4343,Casual Shoes,data/subset_train\Casual_Shoes\4343.jpg
4133,Casual Shoes,data/subset_train\Casual_Shoes\4133.jpg
54742,Casual Shoes,data/subset_train\Casual_Shoes\54742.jpg
31945,Casual Shoes,data/subset_train\Casual_Shoes\31945.jpg
49420,Casual Shoes,data/subset_train\Casual_Shoes\49420.jpg
36465,Casual Shoes,data/subset_train\Casual_Shoes\36465.jpg
15259,Casual Shoes,data/subset_train\Casual_Shoes\15259.jpg
54739,Casual Shoes,data/subset_train\Casual_Shoes\54739.jpg
13077,Casual Shoes,data/subset_train\Casual_Shoes\13077.jpg
24254,Casual Shoes,data/subset_train\Casual_Shoes\24254.jpg
18537,Casual Shoes,data/subset_train\Casual_Shoes\18537.jpg
12867,Casual Shoes,data/subset_train\Casual_Shoes\12867.jpg
39968,Casual Shoes,data/subset_train\Casual_Shoes\39968.jpg
13191,Casual Shoes,data/subset_train\Casual_Shoes\13191.jpg
5898,Casual Shoes,data/subset_train\Casual_Shoes\5898.jpg
54066,Casual Shoes,data/subset_train\Casual_Shoes\54066.jpg
57480,Casual Shoes,data/subset_train\Casual_Shoes\57480.jpg
10627,Casual Shoes,data/subset_train\Casual_Shoes\10627.jpg
30259,Casual Shoes,data/subset_train\Casual_Shoes\30259.jpg
30258,Casual Shoes,data/subset_train\Casual_Shoes\30258.jpg
22246,Casual Shoes,data/subset_train\Casual_Shoes\22246.jpg
12423,Casual Shoes,data/subset_train\Casual_Shoes\12423.jpg
